Flight No.,,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,,Version Booster,Booster landing,Date,Time
F9 v1.1B1003,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,AsiaSat,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,AsiaSat,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,NASA,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,NASA,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,USAF,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,ABS,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,NASA,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,NASA,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 FT,F9 FT,F9 FT,F9 FT,Orbcomm,F9 FT,,F9 v1.1,F9 FT,F9 v1.1,F9 v1.1
F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,NASA,F9 v1.1,,F9 FT,F9 v1.1,F9 v1.1,F9 v1.1
F9 v1.1,,F9 FT,F9 FT,F9 FT,F9 FT,SES,F9 FT,,F9 v1.1,F9 FT,F9 v1.1,F9 v1.1
F9 v1.1,,F9 FT,F9 FT,F9 FT,F9 FT,NASA,F9 FT,,F9 FT,F9 FT,F9 v1.1,F9 FT
F9 v1.1,,F9 FT,F9 FT,F9 FT,F9 FT,SKY Perfect JSAT Group,F9 FT,,F9 FT,F9 FT,F9 FT,F9 v1.1
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,Thaicom,F9 FT,,F9 FT,F9 FT,F9 v1.1,F9 FT
F9 v1.1,,F9 FT,F9 FT,F9 FT,F9 FT,ABS,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,NASA,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,SKY Perfect JSAT Group,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,Iridium Communications,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,NASA,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,EchoStar,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT♺,F9 FT♺,F9 FT♺,F9 FT♺,SES,F9 FT♺,,F9 FT,F9 FT♺,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,NRO,F9 FT,,F9 FT♺,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,Inmarsat,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,NASA,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT♺
F9 FT,,F9 FTB1029.2,F9 FTB1029.2,F9 FTB1029.2,F9 FTB1029.2,Bulsatcom,F9 FTB1029.2,,F9 FT,F9 FTB1029.2,F9 FT♺,F9 FT
F9 FT♺,,F9 FT,F9 FT,F9 FT,F9 FT,Iridium Communications,F9 FT,,F9 FTB1029.2,F9 FT,F9 FT,F9 FT
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,Intelsat,F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT
F9 FT,,F9 B4,F9 B4,F9 B4,F9 B4,NASA,F9 B4,,F9 FT,F9 B4,F9 FT,F9 FTB1029.2
F9 FT,,F9 FT,F9 FT,F9 FT,F9 FT,NSPO,F9 FT,,F9 B4,F9 FT,F9 FTB1029.2,F9 FT
F9 FTB1029.2,,F9 B4,F9 B4,F9 B4,F9 B4,USAF,F9 B4,,F9 FT,F9 B4,F9 FT,F9 FT
F9 FT,,F9 B4,F9 B4,F9 B4,F9 B4,Iridium Communications,F9 B4,,F9 B4,F9 B4,F9 FT,F9 B4
F9 FT,,F9 FTB1031.2,F9 FTB1031.2,F9 FTB1031.2,F9 FTB1031.2,SES S.A.,F9 FTB1031.2,,F9 B4,F9 FTB1031.2,F9 B4,F9 FT
F9 B4,,F9 B4,F9 B4,F9 B4,F9 B4,KT Corporation,F9 B4,,F9 FTB1031.2,F9 B4,F9 FT,F9 B4
F9 FT,,F9 FTB1035.2,F9 FTB1035.2,F9 FTB1035.2,F9 FTB1035.2,NASA,F9 FTB1035.2,,F9 B4,F9 FTB1035.2,F9 B4,F9 B4
F9 B4,,F9 FTB1036.2,F9 FTB1036.2,F9 FTB1036.2,F9 FTB1036.2,Iridium Communications,F9 FTB1036.2,,F9 FTB1035.2,F9 FTB1036.2,F9 B4,F9 FTB1031.2
F9 B4,,F9 B4,F9 B4,F9 B4,F9 B4,Northrop Grumman,F9 B4,,F9 FTB1036.2,F9 B4,F9 FTB1031.2,F9 B4
F9 FTB1031.2,,F9 FTB1032.2,F9 FTB1032.2,F9 FTB1032.2,F9 FTB1032.2,SES,F9 FTB1032.2,,F9 B4,F9 FTB1032.2,F9 B4,F9 FTB1035.2
F9 B4,,F9 FTB1038.2,F9 FTB1038.2,F9 FTB1038.2,F9 FTB1038.2,Hisdesat,F9 FTB1038.2,,F9 FTB1032.2,F9 FTB1038.2,F9 FTB1035.2,F9 FTB1036.2
F9 FTB1035.2,,F9 B4,F9 B4,F9 B4,F9 B4,Hispasat,F9 B4,,F9 FTB1038.2,F9 B4,F9 FTB1036.2,F9 B4
F9 FTB1036.2,,F9 B4B1041.2,F9 B4B1041.2,F9 B4B1041.2,F9 B4B1041.2,Iridium Communications,F9 B4B1041.2,,F9 B4,F9 B4B1041.2,F9 B4,F9 FTB1032.2
F9 B4,,F9 B4B1039.2,F9 B4B1039.2,F9 B4B1039.2,F9 B4B1039.2,NASA,F9 B4B1039.2,,F9 B4B1041.2,F9 B4B1039.2,F9 FTB1032.2,F9 FTB1038.2
F9 FTB1032.2,,F9 B4,F9 B4,F9 B4,F9 B4,NASA,F9 B4,,F9 B4B1039.2,F9 B4,F9 FTB1038.2,F9 B4
F9 FTB1038.2,,F9 B5B1046.1,F9 B5B1046.1,F9 B5B1046.1,F9 B5B1046.1,Thales-Alenia,F9 B5B1046.1,,F9 B4,F9 B5B1046.1,F9 B4,F9 B4B1041.2
F9 B4,,F9 B4B1043.2,F9 B4B1043.2,F9 B4B1043.2,F9 B4B1043.2,Iridium Communications,F9 B4B1043.2,,F9 B5B1046.1,F9 B4B1043.2,F9 B4B1041.2,F9 B4B1039.2
F9 B4B1041.2,,F9 B4B1040.2,F9 B4B1040.2,F9 B4B1040.2,F9 B4B1040.2,SES,F9 B4B1040.2,,F9 B4B1043.2,F9 B4B1040.2,F9 B4B1039.2,F9 B4
F9 B4B1039.2,,F9 B4B1045.2,F9 B4B1045.2,F9 B4B1045.2,F9 B4B1045.2,NASA,F9 B4B1045.2,,F9 B4B1040.2,F9 B4B1045.2,F9 B4,F9 B5B1046.1
F9 B4,,F9 B5,F9 B5,F9 B5,F9 B5,Telesat,F9 B5,,F9 B4B1045.2,F9 B5,F9 B5B1046.1,F9 B4B1043.2
F9 B5B1046.1,,F9 B5B1048,F9 B5B1048,F9 B5B1048,F9 B5B1048,Iridium Communications,F9 B5B1048,,F9 B5,F9 B5B1048,F9 B4B1043.2,F9 B4B1040.2
F9 B4B1043.2,,F9 B5B1046.2,F9 B5B1046.2,F9 B5B1046.2,F9 B5B1046.2,Telkom Indonesia,F9 B5B1046.2,,F9 B5B1048,F9 B5B1046.2,F9 B4B1040.2,F9 B4B1045.2
F9 B4B1040.2,,F9 B5,F9 B5,F9 B5,F9 B5,Telesat,F9 B5,,F9 B5B1046.2,F9 B5,F9 B4B1045.2,F9 B5
F9 B4B1045.2,,F9 B5B1048.2,F9 B5B1048.2,F9 B5B1048.2,F9 B5B1048.2,CONAE,F9 B5B1048.2,,F9 B5,F9 B5B1048.2,F9 B5,F9 B5B1048
F9 B5,,F9 B5B1047.2,F9 B5B1047.2,F9 B5B1047.2,F9 B5B1047.2,Es'hailSat,F9 B5B1047.2,,F9 B5B1048.2,F9 B5B1047.2,F9 B5B1048,F9 B5B1046.2
F9 B5B1048,,F9 B5B1046.3,F9 B5B1046.3,F9 B5B1046.3,F9 B5B1046.3,Spaceflight Industries,F9 B5B1046.3,,F9 B5B1047.2,F9 B5B1046.3,F9 B5B1046.2,F9 B5
F9 B5B1046.2,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5B1046.3,F9 B5,F9 B5,F9 B5B1048.2
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,USAF,F9 B5,,F9 B5,F9 B5,F9 B5B1048.2,F9 B5B1047.2
F9 B5B1048.2,,F9 B5B1049.2,F9 B5B1049.2,F9 B5B1049.2,F9 B5B1049.2,Iridium Communications,F9 B5B1049.2,,F9 B5,F9 B5B1049.2,F9 B5B1047.2,F9 B5B1046.3
F9 B5B1047.2,,F9 B5B1048.3,F9 B5B1048.3,F9 B5B1048.3,F9 B5B1048.3,PSN,F9 B5B1048.3,,F9 B5B1049.2,F9 B5B1048.3,F9 B5B1046.3,F9 B5
F9 B5B1046.3,,F9 B5[268],F9 B5[268],F9 B5[268],F9 B5[268],NASA,F9 B5[268],,F9 B5B1048.3,F9 B5[268],F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5[268],F9 B5,F9 B5,F9 B5B1049.2
F9 B5,,F9 B5B1049.3,F9 B5B1049.3,F9 B5B1049.3,F9 B5B1049.3,SpaceX,F9 B5B1049.3,,F9 B5,F9 B5B1049.3,F9 B5B1049.2,F9 B5B1048.3
F9 B5B1049.2,,F9 B5B1051.2,F9 B5B1051.2,F9 B5B1051.2,F9 B5B1051.2,Canadian Space Agency,F9 B5B1051.2,,F9 B5B1049.3,F9 B5B1051.2,F9 B5B1048.3,F9 B5[268]
F9 B5B1048.3,,F9 B5B1056.2,F9 B5B1056.2,F9 B5B1056.2,F9 B5B1056.2,NASA,F9 B5B1056.2,,F9 B5B1051.2,F9 B5B1056.2,F9 B5[268],F9 B5
F9 B5[268],,F9 B5B1047.3,F9 B5B1047.3,F9 B5B1047.3,F9 B5B1047.3,Spacecom,F9 B5B1047.3,,F9 B5B1056.2,F9 B5B1047.3,F9 B5,F9 B5B1049.3
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5B1047.3,F9 B5,F9 B5B1049.3,F9 B5B1051.2
F9 B5B1049.3,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5,F9 B5,F9 B5B1051.2,F9 B5B1056.2
F9 B5B1051.2,,F9 B5B1056.3,F9 B5B1056.3,F9 B5B1056.3,F9 B5B1056.3,Sky Perfect JSAT,F9 B5B1056.3,,F9 B5,F9 B5B1056.3,F9 B5B1056.2,F9 B5B1047.3
F9 B5B1056.2,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5B1056.3,F9 B5,F9 B5B1047.3,F9 B5
F9 B5B1047.3,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5B1056.3
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5,F9 B5,F9 B5B1056.3,F9 B5
F9 B5B1056.3,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,U.S. Space Force,F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5B1058.2,F9 B5B1058.2,F9 B5B1058.2,F9 B5B1058.2,Republic of Korea Army,F9 B5B1058.2,,F9 B5,F9 B5B1058.2,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5B1058.2,F9 B5,F9 B5,F9 B5
F9 B5,,F9 B5B1049.6,F9 B5B1049.6,F9 B5B1049.6,F9 B5B1049.6,SpaceX,F9 B5B1049.6,,F9 B5,F9 B5B1049.6,F9 B5,F9 B5
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,CONAE,F9 B5,,F9 B5B1049.6,F9 B5,F9 B5,F9 B5B1058.2
F9 B5,,F9 B5B1060.2,F9 B5B1060.2,F9 B5B1060.2,F9 B5B1060.2,SpaceX,F9 B5B1060.2,,F9 B5,F9 B5B1060.2,F9 B5B1058.2,F9 B5
F9 B5B1058.2,,F9 B5B1058.3,F9 B5B1058.3,F9 B5B1058.3,F9 B5B1058.3,SpaceX,F9 B5B1058.3,,F9 B5B1060.2,F9 B5B1058.3,F9 B5,F9 B5B1049.6
F9 B5,,F9 B5B1051.6,F9 B5B1051.6,F9 B5B1051.6,F9 B5B1051.6,SpaceX,F9 B5B1051.6,,F9 B5B1058.3,F9 B5B1051.6,F9 B5B1049.6,F9 B5
F9 B5B1049.6,,F9 B5,F9 B5,F9 B5,F9 B5,SpaceX,F9 B5,,F9 B5B1051.6,F9 B5,F9 B5,F9 B5B1060.2
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,USSF,F9 B5,,F9 B5,F9 B5,F9 B5B1060.2,F9 B5B1058.3
F9 B5B1060.2,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5,F9 B5,F9 B5B1058.3,F9 B5B1051.6
F9 B5B1058.3,,F9 B5,F9 B5,F9 B5,F9 B5,NASA,F9 B5,,F9 B5,F9 B5,F9 B5B1051.6,F9 B5
F9 B5B1051.6,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,SpaceX,F9 B5 ♺,,F9 B5,F9 B5 ♺,F9 B5,F9 B5
F9 B5,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,NASA,F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5,F9 B5
F9 B5,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,Sirius XM,F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5,F9 B5
F9 B5,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,NRO,F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5,F9 B5 ♺
F9 B5,,F9 B5,F9 B5,F9 B5,F9 B5,Türksat,F9 B5,,F9 B5 ♺,F9 B5,F9 B5 ♺,F9 B5 ♺
F9 B5 ♺,,F9 B5B1051.8,F9 B5B1051.8,F9 B5B1051.8,F9 B5B1051.8,SpaceX,F9 B5B1051.8,,F9 B5,F9 B5B1051.8,F9 B5 ♺,F9 B5 ♺
F9 B5 ♺,,F9 B5B1058.5,F9 B5B1058.5,F9 B5B1058.5,F9 B5B1058.5,"Various
",F9 B5B1058.5,,F9 B5B1051.8,F9 B5B1058.5,F9 B5 ♺,F9 B5 ♺
F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,SpaceX,F9 B5 ♺,,F9 B5B1058.5,F9 B5 ♺,F9 B5 ♺,F9 B5
F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,SpaceX,F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5,F9 B5B1051.8
F9 B5,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,SpaceX,F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5B1051.8,F9 B5B1058.5
F9 B5B1051.8,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,SpaceX,F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5B1058.5,F9 B5 ♺
F9 B5B1058.5,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,SpaceX,F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺
F9 B5 ♺,,F9 B5B1060.6,F9 B5B1060.6,F9 B5B1060.6,F9 B5B1060.6,SpaceX,F9 B5B1060.6,,F9 B5 ♺,F9 B5B1060.6,F9 B5 ♺,F9 B5 ♺
F9 B5 ♺,,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺,SpaceX,F9 B5 ♺,,F9 B5B1060.6,F9 B5 ♺,F9 B5 ♺,F9 B5 ♺
F9 B5 ♺,,F9 B5B1061.2,F9 B5B1061.2,F9 B5B1061.2,F9 B5B1061.2,NASA,F9 B5B1061.2,,F9 B5 ♺,F9 B5B1061.2,F9 B5 ♺,F9 B5 ♺
F9 B5 ♺,,F9 B5B1060.7,F9 B5B1060.7,F9 B5B1060.7,F9 B5B1060.7,SpaceX,F9 B5B1060.7,,F9 B5B1061.2,F9 B5B1060.7,F9 B5 ♺,F9 B5B1060.6
F9 B5 ♺,,F9 B5B1049.9,F9 B5B1049.9,F9 B5B1049.9,F9 B5B1049.9,SpaceX,F9 B5B1049.9,,F9 B5B1060.7,F9 B5B1049.9,F9 B5B1060.6,F9 B5 ♺
F9 B5B1060.6,,F9 B5B1051.10,F9 B5B1051.10,F9 B5B1051.10,F9 B5B1051.10,SpaceX,F9 B5B1051.10,,F9 B5B1049.9,F9 B5B1051.10,F9 B5 ♺,F9 B5B1061.2
F9 B5 ♺,,F9 B5B1058.8,F9 B5B1058.8,F9 B5B1058.8,F9 B5B1058.8,SpaceX,F9 B5B1058.8,,F9 B5B1051.10,F9 B5B1058.8,F9 B5B1061.2,F9 B5B1060.7
F9 B5B1061.2,,F9 B5B1063.2,F9 B5B1063.2,F9 B5B1063.2,F9 B5B1063.2,SpaceX,F9 B5B1063.2,,F9 B5B1058.8,F9 B5B1063.2,F9 B5B1060.7,F9 B5B1049.9
F9 B5B1060.7,,F9 B5B1067.1,F9 B5B1067.1,F9 B5B1067.1,F9 B5B1067.1,NASA,F9 B5B1067.1,,F9 B5B1063.2,F9 B5B1067.1,F9 B5B1049.9,F9 B5B1051.10
F9 B5B1049.9,,F9 B5,F9 B5,F9 B5,F9 B5,Sirius XM,F9 B5,,F9 B5B1067.1,F9 B5,F9 B5B1051.10,F9 B5B1058.8
F9 B5B1051.10,,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,F9 B5,Failure,F9 B5B1058.8,F9 B5B1063.2
F9 B5B1058.8,,CCAFS,Dragon,0,LEO,NASA,Success,,F9 v1.1,Failure,F9 B5B1063.2,F9 B5B1067.1
F9 B5B1063.2,,CCAFS,Dragon,525 kg,LEO,NASA,Success,,F9 v1.1,"No attempt
",F9 B5B1067.1,18:45
F9 B5B1067.1,,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,F9 v1.1,No attempt,4 June 2010,15:43
1,,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",,F9 v1.1,"No attempt
",8 December 2010,07:44
2,,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,,F9 v1.1,Uncontrolled,22 May 2012,00:35
3,,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,,F9 v1.0B0003.1,No attempt,8 October 2012,15:10
4,,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,,F9 v1.0B0004.1,No attempt,1 March 2013,16:00
5,,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",,F9 v1.0B0005.1,Controlled,29 September 2013,22:41
6,,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,,F9 v1.0B0006.1,Controlled,3 December 2013,22:06
7,,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,,F9 v1.0B0007.1,No attempt,6 January 2014,19:25
8,,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,,F9 v1.1B1003,"No attempt
",18 April 2014,15:15
9,,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,F9 v1.1,Uncontrolled,14 July 2014,08:00
10,,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,,F9 v1.1,Failure ,5 August 2014,05:00
11,,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",,F9 v1.1,Controlled,7 September 2014,05:52
12,,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",,F9 v1.1,No attempt,21 September 2014,09:47
13,,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",,F9 v1.1,Failure,10 January 2015,23:03
14,,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",,F9 v1.1,No attempt,11 February 2015,03:50
15,,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,,F9 v1.1,Precluded,2 March 2015,20:10
16,,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",,F9 v1.1,Success,14 April 2015,23:03
17,,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",,F9 v1.1,Failure,27 April 2015,14:21
18,,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",,F9 v1.1,Failure,28 June 2015,01:29
19,,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,,F9 v1.1,Success,22 December 2015,18:42
20,,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",,F9 v1.1,Success,17 January 2016,23:35
21,,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",,F9 v1.1,Success,4 March 2016,20:43
22,,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",,F9 FT,Failure,8 April 2016,05:21
23,,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",,F9 v1.1,Success,6 May 2016,21:39
24,,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",,F9 FT,Success,27 May 2016,14:29
25,,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,F9 FT,Success,15 June 2016,04:45
26,,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",,F9 FT,Success,18 July 2016,05:26
27,,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",,F9 FT,No attempt,14 August 2016,17:54
28,,KSC,SES-10,"5,300 kg",GTO,SES,Success,,F9 FT,Success,14 January 2017,14:39
29,,KSC,NROL-76,C,LEO,NRO,"Success
",,F9 FT,Success,19 February 2017,06:00
30,,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",,F9 FT,No attempt,16 March 2017,22:27
31,,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",,F9 FT,Success,30 March 2017,11:15
32,,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",,F9 FT,Success,1 May 2017,23:21
33,,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,F9 FT,Success,15 May 2017,21:07
34,,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",,F9 FT♺,No attempt,3 June 2017,19:10
35,,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",,F9 FT,Success,23 June 2017,20:25
